AIFF    ,Audio interchange file format
APK     ,Android package kit
BAT		,Batch file
BMP		,Bitmap picture
DB      ,Database
EPS     ,Encapsulate postscript
EPUB    ,Electronic publication
EXE     ,Executable program
GIF		,Graphics interchange format
JPEG	,Joint photographic experts group
MIDI    ,Musical instrument digital interface
MPEG    ,Moving picture experts group
PDF     ,Portable Document Format
PNG		,Portable network graphics
PS      ,Postscript
SVG     ,Scalable vector graphics 
SWF     ,ShockWave Flash
TIFF    ,Tag image file format
WMV		,Windows media video
XCF     ,Experimental computing facility
