à la, in the style of
à la carte, on the card (menu)
à propos, regarding
apéritif, before-meal drink
attaché, a person attached to an embassy
au contraire, on the contrary
au naturel, nude
au pair, a young foreigner who does domestic chores for room
au revoir, see you later
Belle Époque, beautiful epoque 1880-1914
bête noire, anathema (something that is extremely disliked)
bon appétit, good appetite
bon voyage, good journey
café au lait, coffee with milk
carte blanche, unlimited authority
cause célèbre, issue arousing widespread controversy
c'est la vie, such is life
ceci n'est pas un pipe, this is not a pipe
chef d'œuvre, a masterpiece
chez, at the house of
chic, stylish
cinéma vérité, realism in documentary filmmaking
cliché, overused stereotypical phrase
comme ci comme ça, neither good or bad
concierge, receptionist
coup d'état, government overthrow
coup de grâce, final blow that results in victory
crème brûlée, caramel (burnt cream)
déjà vu, already seen
derrière, buttocks
détente, easing of diplomatic tension
double entendre, phrase which has two distinct meanings
en garde, be on your guard
en masse, all together
en passant, in passing
en route, on the way
enfant terrible, terrible child
entente, diplomatic agreement
entrée, entrance
exposé, exposure of a scandal
l'État c'est moi, I am the state
un état dans l'état, a state in a state
façade, front view
fait accompli, something already happened and unlikely to be reversed
faux pas, violation of unwritten social rule
fiancé(e), engaged man (woman)
film noir, dark-themed immoral crime film genre 
force majeure, overpowering unforeseen event 
Grand Prix, great prize
je ne regrette rien, I regret nothing
je ne sais quoi, I don't know what 
joie de vivre, enjoyment of life
laissez-faire, let do (non-interference)
lèse majesté, an offense against a sovereign power
mise en scène, stage setting of a play
naïveté, lack of experience
pastiche, imitation
première, first performance of a play 
raison d'être, purpose of existence
rapprochement, establishment of cordial relations
rendezvous, mysterious meeting
sacre bleu, cry of surprise
tête-à-tête, private conversation between two people
trés bien, very good
touché, acknowledgement of an effective counterpoint
vignette, a brief description
vis-à-vis, in comparison with 
voilà, there it is 
voyeur, Peeping Tom 
zut alors, darn it 
