    a   ,acceleration
    a   ,axion
    A   ,activity
    A   ,area 
    b   ,bottom quark
    B   ,magnetic flux density 
    c   ,specific heat capacity
    c   ,speed of light 
    c   ,charm quark
    C   ,capacitance
    C   ,specific heat
    d   ,down quark
    D   ,electric flux density 
    D   ,absorbed dose
    e   ,elementary charge 
    e   ,electron
    E   ,energy 
    E   ,electric field 
    emf ,electromotive force
    F   ,force 
    f   ,frequency
    f   ,fermion
    g   ,gluon
    g   ,gravitational acceleration 
    G   ,graviton
    G   ,gravitational force 
    h   ,height 
    h   ,Planck's constant
    H   ,equivalent dose
    H   ,magnetic field 
    H   ,Higgs boson
    I   ,current 
    J   ,current density
    k   ,Boltzmann constant
    K   ,kaon
    l   ,lepton
    L   ,inductance
    L   ,length 
    L   ,angular momentum 
    LQ  ,leptoquark
    m   ,mass 
    M   ,mutual inductance 
    M   ,molar mass
    n   ,refraction index 
    n   ,number density 
    N   ,number 
    N   ,sterile neutrino
    p   ,momentum
    p   ,pressure 
    P   ,power
    q   ,quark 
    q   ,charge
    Q   ,heat 
    r   ,radius 
    R   ,resistance
    s   ,strange quark
    s   ,scalar
    S   ,action 
    S   ,entropy 
    S   ,Poynting vector
    smv ,sähkömotorinen voima
    t   ,time 
    t   ,top quark
    T   ,temperature
    u   ,up quark
    v   ,velocity
    V   ,voltage
    V   ,volume
    X   ,reactance 
    Y   ,admittance
    Z   ,impedance
