    A       ,Ampeeri
    a       ,aari 
    atm     ,ilmakehän paine
    b       ,barn
    bar     ,baari
    Bq      ,Becquerel
    °C      ,celsiusaste
    C       ,Coulombi
    cal     ,kalori
    cd      ,kandela
    cl      ,senttilitra
    cm      ,senttimetri
    dl      ,desilitra
    eV      ,elektronivoltti
    F       ,Faradi
    g       ,gramma
    GeV     ,gigaelektronivoltti
    GHz     ,gigahertsi
    GJ      ,gigajoule
    GPa     ,gigapascal
    Gt      ,gigatonni
    GW      ,gigawatti
    GWh     ,gigawattitunti
    Gy      ,Gray 
    H       ,Henry 
    ha      ,hehtaari
    Hz      ,hertsi
    hv      ,hevosvoima
    J       ,Joule
    k       ,jousivakio
    K       ,Kelvin
    kb      ,kilobitti
    kcal    ,kilokalori
    keV     ,kiloelektronivoltti
    kg      ,kilogramma
    kHz     ,kilohertsi
    kJ      ,kilojoule
    kk      ,kuukausi
    kkp     ,kahvikuppi
    km      ,kilometri
    kN      ,kilonewton
    kPa     ,kilopascal
    kp      ,kuppi
    kpl     ,kappale
    kt      ,kilotavu
    kt      ,kilotonni
    kW      ,kilowatti
    kWh     ,kilowattitunti
    l       ,litra
    lm      ,luumen
    lx      ,lux
    m       ,metri 
    mA      ,milliampeeri
    mAh     ,milliampeeritunt
    mbar    ,millibaari
    meV     ,millielektronivoltti
    MeV     ,megaelektronivoltti
    mg      ,milligramma
    MHz     ,megahertsi
    min     ,minuutti
    mJ      ,millijoule
    MJ      ,megajoule
    mK      ,millikelvin
    ml      ,millilitra
    mm      ,millimetri
    mN      ,millinewton
    MN      ,meganewton
    mol     ,mooli 
    MPa     ,megapascal
    ms      ,millisekunti
    mSv     ,millisievert
    MW      ,megawatti
    MWh     ,megawattitunti
    Mt      ,megatonni
    N       ,Newton
    ns      ,nanosekunti
    Pa      ,Pascal
    pc      ,parsek
    plo     ,pullo
    pv      ,päivä
    R       ,Röntgen
    rad     ,radiaani
    rem     ,Röntgen equivalent man
    rl      ,ruokalusikka
    s       ,sekunti
    S       ,Siemens
    sr      ,steradiaani
    Sv      ,Sievert
    t       ,tonni
    t       ,tunti 
    T       ,Tesla
    tl      ,teelusikka
    tlk     ,tölkki
    TeV     ,teraelektronivoltti
    Tb      ,terabitti
    Tt      ,teratavu
    v       ,vuosi
    V       ,Voltti
    vk      ,viikko
    vv      ,valovuosi
    W       ,Watti 
    Wb      ,Weber
